"row_id","fofId","mass","np","m.np"
1,416001042635,35900399616,262,262
2,416001110605,33433999360,244,244
3,416000189995,243218006016,1775,1775
4,416000207075,220882993152,1612,1612
5,416000134735,356949000192,2605,2605
6,416000503645,81666596864,596,596
7,416000688275,57413300224,419,419
8,416000916745,41518399488,303,303
9,416001071735,34804199424,254,254
10,416000903525,42203500544,308,308
11,416000834465,46177300480,337,337
12,416000318345,136749998080,998,998
13,416000379855,112223002624,819,819
14,416001086975,34256099328,250,250
15,416000757255,51521200128,376,376
16,416000893295,42751598592,312,312
17,416001169685,31515600896,230,230
18,416000815185,47410499584,346,346
19,416000190865,241984995328,1766,1766
20,416000128885,374899015680,2736,2736
21,416000178295,261306007552,1907,1907
22,416000302115,144972005376,1058,1058
23,416000018755,2994259886080,21852,21852
24,416000481315,85914296320,627,627
25,416000668335,59331600384,433,433
26,416001090915,34119100416,249,249
27,416000517505,79200100352,578,578
28,416001025295,36585500672,267,267
29,416001267515,28775100416,210,210
30,416000111245,440944984064,3218,3218
31,416000875855,43710799872,319,319
32,416000276575,159908003840,1167,1167
33,416001174165,31378599936,229,229
34,416000063385,820914028544,5991,5991
35,416000126125,383942983680,2802,2802
36,416000078685,646070009856,4715,4715
37,416000746695,52343398400,382,382
38,416000598185,67278999552,491,491
39,416001231505,29734299648,217,217
40,416001135305,32611799040,238,238
41,416000023105,2413960101888,17617,17617
42,416000691255,57139200000,417,417
43,416000976905,38640898048,282,282
44,416000231835,194986000384,1423,1423
45,416000362035,118388998144,864,864
46,416000078245,650043981824,4744,4744
47,416000479345,86325403648,630,630
48,416001237195,29597300736,216,216
49,416001193345,30830499840,225,225
50,416000657935,60427800576,441,441
51,416000871285,43984900096,321,321
52,416000615945,65086599168,475,475
53,416000628775,63579398144,464,464
54,416000584495,69060296704,504,504
55,416000227835,198684999680,1450,1450
56,416000191385,241299996672,1761,1761
57,416000967915,39052001280,285,285
58,416000922215,41244401664,301,301
59,416000750205,52069298176,380,380
60,416000279645,157988995072,1153,1153
61,416001241545,29460299776,215,215
62,416000464325,89476997120,653,653
63,416000883505,43299700736,316,316
64,416000190105,243081003008,1774,1774
65,416000201525,227734994944,1662,1662
66,416000329035,131817996288,962,962
67,416000274695,161140998144,1176,1176
68,416000648775,61387001856,448,448
69,416001262285,28912199680,211,211
70,416000364275,117566996480,858,858
71,416001102655,33707999232,246,246
72,416000370195,115512000512,843,843
73,416000768045,50699100160,370,370
74,416001216575,30145400832,220,220
75,416000366215,116881997824,853,853
76,416001005555,37407698944,273,273
77,416000999135,37681700864,275,275
