#OK
#SQL= select fofId, x, y, z, np from MDR1..FOF f  
#	where f.x between 450 and 470 
#	and f.y between 450 and 470
#	and f.z between 450 and 470
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-04 15:28:24.435 CEST
#QUERYTIME 25956 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofId,x,y,z,np
24000000067,460.8379,468.1179,464.4462,75
26000000558,460.9733,468.2079,464.36,110
26000062400,456.5055,462.6232,456.2909,23
34000019227,461.5742,468.7972,463.8472,390
34000054213,456.9672,463.7693,456.5556,250
34000098567,464.1129,461.8973,463.4246,189
34000296691,466.6808,468.5631,455.3951,108
34000342302,464.7588,463.5055,463.4366,100
34000588805,467.4631,457.3177,462.4897,74
34000632910,454.7513,461.1808,451.1064,71
34000648913,468.8043,454.8893,466.4531,70
34000665299,462.9788,469.3479,465.5602,69
34000737451,455.2709,459.4019,450.3827,65
34000799116,460.9233,469.0114,454.1718,62
34000821754,463.3752,463.8825,463.8525,61
34000821755,458.5987,459.0868,466.3705,61
34000845218,451.4792,468.6392,463.7783,60
34000845219,462.8765,469.6855,468.581,60
34001009988,462.2245,469.0254,466.4489,54
34001075259,460.2278,463.3042,463.2466,52
34001185784,463.3071,464.4003,459.6207,49
34001185787,462.2729,469.7721,458.4211,49
34001226771,453.7514,460.0888,452.0289,48
34001578291,457.7759,459.8685,463.0748,41
34001640737,467.7983,455.1955,464.803,40
34001640738,465.5235,464.5992,463.6201,40
34001706167,450.231,457.3539,462.1756,39
34001706171,466.6626,463.328,465.6949,39
34001929034,460.4303,463.6966,463.5483,36
34001929035,451.707,468.922,463.5851,36
34002013416,468.075,460.8312,464.2742,35
34002013418,465.593,452.9794,469.7977,35
34002412528,453.7983,460.225,457.178,31
34002412529,460.5765,465.5231,458.655,31
34002412534,459.1987,461.2973,463.8289,31
34002412535,450.6485,469.1324,462.8811,31
34002412536,451.2717,465.4438,462.347,31
34002530912,461.3606,468.8789,455.7719,30
34002530925,462.2751,469.1091,466.9131,30
34002658276,465.1041,463.7231,459.7924,29
34002658282,463.318,467.3938,464.256,29
34002795626,462.5943,468.7502,465.2014,28
34002795629,460.2561,456.2686,468.6471,28
34002944820,459.5796,464.1363,458.3325,27
34002944835,458.081,457.4752,468.4277,27
34003281215,458.2138,462.4408,458.7537,25
34003281224,461.3857,469.1205,463.1366,25
34003281225,464.2502,469.6107,463.7166,25
34003281226,461.4298,463.9027,464.0749,25
34003281276,454.3167,459.9904,451.8326,25
34003471552,466.2793,467.5362,455.8016,24
34003471554,467.0387,466.2168,457.2127,24
34003471563,461.2988,459.2993,465.5379,24
34003471565,461.5166,467.9564,463.8239,24
34003471577,463.8075,468.3165,469.1347,24
34003909053,468.7931,459.9544,453.9497,22
34003909073,451.233,457.5232,460.4609,22
34003909074,452.0155,459.1628,460.1976,22
34003909086,460.1592,457.7578,466.8975,22
34004159345,467.104,454.931,464.6873,21
34004435084,452.2651,459.2728,460.059,20
34004435090,459.0634,461.1024,463.7998,20
34004435094,461.6163,468.7076,464.4954,20
34004435095,462.8081,463.7894,464.1593,20
34004435099,466.0802,464.3015,467.1581,20
40000031898,462.3484,469.4117,463.3731,1009
40000194833,457.6453,465.1209,456.9742,383
40000207490,462.7621,469.7855,464.4355,369
40000415194,464.257,463.5246,463.6008,240
40000506376,461.8033,464.7153,463.6812,211
40000537047,454.7045,461.7527,452.2749,203
40000537048,462.7454,469.663,465.3506,203
40000602280,467.5908,456.4985,465.4957,188
40000611929,463.5729,464.8759,463.4446,186
40000729887,450.6368,457.5419,468.6017,165
40000749604,467.9849,461.9645,464.5161,162
40000763416,461.0451,464.5266,463.3117,160
40000806962,463.5233,466.0085,459.7164,154
40000806963,464.5789,464.4708,463.4189,154
40000888714,458.559,461.0612,463.6008,144
40000935008,461.2388,466.9626,458.8379,139
40000995676,452.4645,469.6353,462.776,133
40001062335,451.5069,469.7979,462.4752,127
40001074082,469.2477,461.584,454.4336,126
40001190756,455.0752,462.4507,451.8313,117
40001281143,455.4829,460.9446,451.0543,111
40001313694,466.5995,464.092,464.9597,109
40001347316,463.4191,468.4519,463.4039,107
40001439064,451.0113,458.282,462.6856,102
40001439065,468.3752,456.1846,466.7825,102
40001585838,465.7979,453.7241,469.9685,95
40001608644,459.1982,460.1676,466.4459,94
40001632083,467.543,458.5601,463.3079,93
40001632085,460.3572,458.7465,467.2651,93
40001786431,459.8591,462.2856,463.8348,87
40001902954,464.911,450.3124,461.2078,83
40002032709,458.0721,460.4815,469.6349,79
40002259006,451.3911,455.0903,468.8344,73
40002343584,465.2589,465.2618,463.3409,71
40002530329,467.4128,457.242,465.2399,67
40002580722,452.9028,459.9958,462.4627,66
40002633365,457.9094,459.0457,468.4217,65
40002687547,459.9968,465.8258,458.7084,64
40002861985,451.9585,466.4873,461.8758,61
40002989679,459.8587,457.2108,468.4102,59
40003057158,466.1873,464.9044,466.1373,58
40003127483,460.9746,465.5903,461.6165,57
40003200900,459.002,458.8223,467.8202,56
40003276890,466.0896,454.334,469.2154,55
40003355975,460.6486,468.0832,456.9331,54
40003523852,458.8485,460.1985,467.1493,52
40003805230,464.9502,465.3706,460.0394,49
40003907531,460.0258,464.9354,454.748,48
40003907535,466.976,468.0922,457.1386,48
40004014261,458.303,460.6195,461.8921,47
40004014265,467.8217,456.1414,465.2943,47
40004014267,459.323,460.5088,465.8754,47
40004126601,460.5404,450.0797,469.1302,46
40004366577,459.9909,456.3974,465.4071,44
40004496244,463.8667,469.455,467.9021,43
40004773577,454.7093,461.6949,457.4782,41
40004773579,457.3072,460.6865,460.8342,41
40004923258,458.4934,464.3892,459.019,40
40004923259,459.2681,469.4255,456.8607,40
40004923268,456.318,455.2052,467.7169,40
40005247614,469.5193,454.8212,462.6796,38
40005247617,456.1105,455.6198,467.0275,38
40005423174,465.98,461.4005,451.3558,37
40005423197,456.9114,463.9325,457.5055,37
40005423201,453.9164,465.7826,459.3757,37
40005423202,452.7436,460.1792,460.5632,37
40005423211,469.1735,459.0438,466.6288,37
40005423212,457.7506,458.9643,468.7108,37
40005607974,464.7794,461.6936,451.5385,36
40005607988,469.2969,469.3135,454.9101,36
40005608000,466.6577,459.4268,465.6625,36
40005803052,454.7522,465.3746,451.1589,35
40005803080,468.6447,456.8524,466.8064,35
40005803084,458.6525,458.4883,468.3209,35
40005803085,468.3818,458.0805,466.6643,35
40006009650,465.0484,450.6605,461.4803,34
40006009651,462.2823,469.9277,457.1072,34
40006009664,468.2333,464.762,465.9956,34
40006228352,461.9684,468.6323,459.1967,33
40006228356,461.2645,460.3952,465.6887,33
40006459534,469.1941,463.2126,465.1485,32
40006704446,466.3027,454.831,469.1058,31
40006964322,461.3083,469.0608,456.6238,30
40006964327,467.5887,450.7714,464.5205,30
40007241084,460.0804,468.5189,454.0372,29
40007241101,463.9568,469.9171,463.22,29
40007534905,469.7784,469.7907,454.4794,28
40007534927,459.5144,454.8155,467.0312,28
40007534932,460.2287,457.2318,468.4832,28
40007846947,460.7481,464.0279,463.8452,27
40008179713,466.3155,466.0221,456.8632,26
40008179725,450.6225,457.8782,463.5175,26
40008179726,464.6151,463.7437,463.4683,26
40008536349,455.5067,459.8335,453.0121,25
40008536399,461.0164,467.3444,458.3949,25
40008536403,451.8565,458.8489,461.1412,25
40008536420,450.4013,450.4885,465.6346,25
40008536423,451.2623,466.1924,462.2141,25
40008536424,464.006,468.6632,462.9924,25
40008920986,456.0621,463.1317,457.0536,24
40008920995,457.5423,458.8664,461.9561,24
40008921007,459.9867,451.1499,468.8372,24
40009331483,450.1806,467.8927,457.6331,23
40009331485,461.9867,469.845,456.9112,23
40009331491,458.5154,459.1548,463.4632,23
40009331506,459.9715,457.4683,468.2292,23
40009331511,452.1983,454.4568,469.9672,23
40009775480,459.5114,468.3185,451.2715,22
40009775484,455.7093,458.9475,452.9416,22
40009775549,461.0995,468.7043,456.9184,22
40009775556,457.3271,459.8654,464.0751,22
40009775558,464.8794,464.2175,463.4306,22
40009775566,450.8917,469.2872,464.3832,22
40010256779,450.2369,457.0393,459.5245,21
40010256786,461.8857,466.3632,459.6877,21
40010256803,459.5015,454.4513,467.5039,21
40010256815,450.1304,469.8383,466.2904,21
40010779764,466.976,461.4421,452.0954,20
40010779831,459.3646,467.7747,454.1562,20
40010779859,458.9626,458.4512,463.3103,20
40010779884,459.3306,456.8614,468.8083,20
40010779888,451.6601,458.5443,468.2312,20
46000077162,464.3263,465.5388,463.3795,1237
46000259189,462.2326,465.5399,463.2121,572
46000281925,458.2949,466.4222,457.2622,540
46000451227,455.3899,463.3722,452.5599,387
46000498402,467.5088,457.8792,466.0009,360
46000660113,450.0852,462.7885,461.5039,292
46000757091,467.7603,463.3557,464.5691,263
46000865753,467.9567,457.4931,466.9641,237
46000952524,460.5646,463.5647,463.913,220
46001153769,464.8172,450.1817,460.8114,189
46001161379,460.1219,458.4239,468.4106,188
46001169186,451.3217,457.6426,468.6314,187
46001193050,461.8044,468.4435,458.8864,184
46001217686,458.7744,460.6489,469.4401,181
46001325311,451.6316,459.1766,463.09,169
46001325312,466.0495,455.3154,469.6052,169
46001396234,455.756,462.3362,451.7612,162
46001439476,467.5551,459.756,464.1233,158
46001497126,465.1379,451.4166,461.8996,153
46001558811,458.791,459.5156,468.4376,148
46001653068,463.6445,467.6117,459.7833,141
