#OK
#SQL= select fofId, x, y, z, np from MDR1..FOF f  
#	where f.x between 450 and 550 
#	and f.y between 450 and 550
#	and f.z between 450 and 550
#	and snapnum = 85 
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-04 15:35:28.519 CEST
#QUERYTIME 59 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofId,x,y,z,np
85000000017,475.6505,493.9411,453.5785,185131
85000002501,477.4042,481.6817,456.8333,38779
85000003168,487.1624,477.1508,463.2482,34594
85000006455,477.1987,477.9236,455.3014,23705
85000013048,467.1986,453.0752,478.9367,15772
85000014066,475.1485,487.6093,455.2994,15051
85000025128,484.7643,461.3781,460.676,10344
85000027170,490.4125,476.1027,480.1245,9811
85000032177,477.5983,474.59,453.7544,8730
85000035006,485.6665,464.1507,450.4506,8219
85000039399,479.9799,484.3705,457.6947,7553
85000044937,488.744,470.7822,459.7818,6865
85000078779,492.1435,460.4043,498.9838,4461
85000083751,494.2969,492.3893,475.4128,4244
85000093685,476.4344,482.2368,485.7914,3873
85000095302,489.6099,460.7045,479.2914,3820
85000103954,489.5319,475.072,483.3529,3557
85000113704,497.8229,492.1375,475.6838,3305
85000125684,471.3493,474.6639,479.6339,3032
85000127411,466.2222,454.8803,475.5244,2996
85000128025,489.9721,466.2131,466.6729,2984
85000133853,498.0043,491.1955,460.9636,2872
85000136044,482.5728,471.2146,493.5848,2831
85000137677,496.1445,460.0499,498.1634,2803
85000141853,461.5899,463.2963,467.8443,2732
85000146089,489.8659,469.0642,467.6261,2665
85000162455,489.0477,477.3777,467.5826,2432
85000169560,495.4462,465.671,450.2898,2341
85000174567,469.4136,499.4814,466.0632,2283
85000189617,482.7772,484.2075,458.4409,2120
85000196612,479.2979,490.5995,485.7457,2052
85000212484,473.0464,480.4663,485.3598,1915
85000215248,475.6753,497.4702,472.2274,1893
85000217502,451.4718,459.4344,466.9286,1875
85000217908,480.8613,492.5261,478.1732,1872
85000227057,483.9325,465.0209,493.9367,1804
85000231575,490.8951,475.8177,470.9753,1772
85000249225,482.3504,462.989,498.4943,1658
85000250536,490.8052,468.3901,461.4345,1650
85000252864,490.5506,476.8405,477.2453,1636
85000264853,491.7664,496.4392,478.7928,1569
85000265252,468.5166,450.2766,481.8437,1567
85000267534,466.678,452.4419,480.6777,1555
85000272852,467.2527,463.2347,467.0685,1527
85000297006,494.7822,465.1736,451.0611,1412
85000311223,485.5117,472.502,488.8092,1352
85000311472,499.3752,492.3243,479.8119,1351
85000316306,486.0698,470.5004,455.9458,1331
85000323493,494.5825,467.4637,478.0177,1303
85000326465,497.6801,491.803,451.2832,1292
85000328669,496.5367,499.3332,469.6863,1284
85000348511,487.6211,493.5542,451.9941,1215
85000348537,483.9325,478.4937,460.5354,1215
85000357599,485.1145,460.36,451.5352,1186
85000431725,484.5229,461.0209,452.2402,991
85000432189,482.5758,466.7026,494.5061,990
85000435817,492.0369,488.5908,452.6433,982
85000438108,466.9987,455.375,480.1528,977
85000444332,459.7177,450.3961,486.8564,964
85000445771,487.5532,487.7773,477.4214,961
85000449628,454.5206,466.3049,461.2395,953
85000458229,480.5184,488.0062,488.9912,936
85000478165,482.4662,485.5855,456.3499,898
85000483606,481.0606,494.8141,453.226,888
85000513360,482.725,492.1814,473.7672,837
85000517867,494.8085,471.2295,463.8987,830
85000526193,488.9667,476.0116,480.5754,817
85000526835,472.6324,473.6111,464.4609,816
85000530805,485.9961,496.9176,477.8784,810
85000531552,471.2692,471.0773,461.6911,809
85000543161,477.5344,481.0905,458.3981,792
85000574922,483.0484,464.6315,495.409,749
85000575717,487.0535,476.4076,480.8345,748
85000579647,484.4108,480.045,474.9438,743
85000584494,467.7328,465.357,465.1557,737
85000590076,470.2128,498.6255,451.6037,730
85000595872,465.6419,455.832,464.0318,723
85000602494,495.8945,482.0885,493.7384,715
85000613841,483.1709,484.2837,499.158,702
85000617344,475.5007,491.9137,456.536,698
85000630105,473.1112,486.565,460.6224,684
85000650138,479.1913,490.0539,484.6686,663
85000687409,469.3234,450.8819,482.1087,627
85000691630,498.3903,462.0045,499.8419,623
85000698316,470.5232,475.8775,483.0017,617
85000707586,471.0067,470.9112,456.2164,609
85000725209,481.3791,494.2643,453.5144,594
85000726577,489.1959,490.5233,453.3503,593
85000727722,496.8528,476.4198,484.0752,592
85000728900,462.0186,466.8275,464.8776,591
85000735081,488.6629,465.1221,485.3685,586
85000736298,450.5993,459.8884,464.8719,585
85000780220,466.3386,458.3283,471.7217,552
85000794569,488.1651,476.337,466.6482,542
85000807751,468.2386,452.8678,480.5476,533
85000809252,487.1371,473.7144,486.3515,532
85000815336,482.9853,458.9053,459.0076,528
85000831012,473.821,489.7213,458.4153,518
85000834010,471.6146,494.6161,461.8571,516
85000850208,475.3972,489.7415,456.1476,506
85000852054,477.0422,479.9678,454.6109,505
85000855518,476.3712,482.8949,456.3195,503
85000865683,466.4626,454.1334,476.4103,497
85000874467,489.0688,486.0512,463.3822,492
85000890316,491.5841,496.725,480.0662,483
85000908997,494.8142,466.631,491.3138,473
85000910918,496.5715,481.0286,485.7344,472
85000912833,455.1406,464.682,462.9099,471
85000914703,471.5366,486.6116,457.6725,470
85000934048,490.414,466.8593,465.3865,460
85000944001,485.5594,487.2747,498.9132,455
85000950247,471.9529,477.9652,456.8643,452
85000962689,487.6344,477.9868,461.8181,446
85000970613,498.9331,481.7061,450.8511,442
85000981869,486.1147,467.5898,490.6912,437
85000986224,488.4303,475.5674,466.4882,435
85000988333,487.6661,496.6256,453.3655,434
85001025155,499.2105,497.3604,451.5926,418
85001037055,478.1988,470.8944,450.1934,413
85001037596,484.0434,459.6637,457.7965,413
85001052302,473.4755,456.3956,486.0113,407
85001057274,490.8477,460.7628,480.7262,405
85001078258,498.7982,492.394,452.282,397
85001091555,482.7636,463.4967,497.0148,392
85001096954,493.5304,460.2696,476.3146,390
85001099383,474.6845,490.3391,454.1364,389
85001102477,486.8337,465.7879,460.5547,388
85001105248,480.3757,491.4421,479.383,387
85001122113,481.2517,489.9759,459.6933,381
85001124962,483.1536,467.8932,451.3672,380
85001127511,499.4106,496.4373,452.2725,379
85001127833,488.4875,463.1348,497.1534,379
85001142476,485.3315,467.6419,484.4163,374
85001148455,493.86,472.1617,463.3418,372
85001154513,470.7406,479.8606,486.9181,370
85001157579,483.0115,478.4807,479.762,369
85001169606,492.1103,495.6772,475.6966,365
85001169942,490.1676,457.6107,468.3331,365
85001198591,496.1208,477.2823,482.0213,356
85001201850,491.7146,492.7712,451.3177,355
85001205116,480.8677,462.3596,465.8248,354
85001207634,492.3594,464.6674,450.5626,353
85001211628,481.3816,476.4422,480.9656,352
85001231424,476.7145,491.1537,453.8377,346
85001231784,489.7987,467.1023,467.6301,346
85001255806,491.791,497.1899,481.9096,339
85001259888,490.0102,476.3022,469.3325,338
85001270968,492.1259,476.2243,469.6631,335
85001278205,493.293,488.4883,451.8301,333
85001285252,474.5327,491.7995,453.4931,331
85001293056,474.2727,469.7706,482.0549,329
85001308237,489.4625,468.5637,454.604,325
85001319931,474.5447,491.8172,470.1939,322
85001328139,453.8133,462.8509,464.0782,320
85001328141,490.6435,476.5721,475.9975,320
85001340312,484.4513,492.5608,469.5073,317
85001348155,471.4966,496.3188,452.6725,315
85001348539,487.9276,468.5262,454.9447,315
85001348540,471.3469,479.3948,456.4579,315
85001356702,487.7221,477.0852,461.7372,313
85001356706,488.5571,488.3065,499.6941,313
85001364440,478.1744,490.2851,455.324,311
85001364841,467.4975,464.6224,466.6851,311
85001372817,478.7381,491.6173,455.0142,309
85001381386,486.1574,498.5318,450.7672,307
85001394677,467.7828,462.9761,466.6347,304
85001399109,494.2191,476.9471,471.4569,303
85001408091,483.188,489.944,463.412,301
85001453765,490.1043,493.1321,450.5217,291
85001453808,479.4943,497.4097,460.0369,291
85001459167,462.7442,464.4579,451.2645,290
85001459170,496.5315,485.3715,479.7715,290
85001469040,491.9374,463.4995,495.6904,288
85001473836,488.7056,454.3706,451.1432,287
85001504082,482.0513,460.8562,491.2037,281
85001509163,495.6403,472.1952,466.3553,280
85001524642,466.623,454.9879,469.4127,277
85001524647,490.3331,464.7485,469.7982,277
85001529943,471.2778,470.0435,456.5277,276
85001529944,473.5061,477.3679,494.2753,276
85001540505,471.0544,459.2212,465.2896,274
85001551397,473.6093,454.4459,492.5441,272
85001551400,493.4403,476.7593,470.4245,272
85001567939,470.3937,469.617,451.064,269
85001579036,481.7132,460.4817,454.1957,267
85001590460,463.5548,453.4101,478.9623,265
85001595567,491.9497,499.8074,471.6381,264
85001596118,480.061,480.8814,459.0386,264
85001596124,489.6987,466.4802,483.4666,264
85001601972,459.4249,454.0055,451.5667,263
85001625537,464.5967,452.9539,462.1999,259
85001625544,497.2348,482.471,486.121,259
85001631479,481.7542,475.8991,481.405,258
85001637643,473.7503,485.8769,487.1844,257
85001656349,470.541,479.1165,456.4471,254
85001661883,472.9616,495.2578,453.2652,253
85001681629,455.9161,450.9696,488.0564,250
85001701144,487.416,469.9434,455.3336,247
85001701146,474.4264,456.2762,472.2723,247
85001701151,499.6749,491.3749,487.1537,247
85001706967,469.8975,498.1663,484.6872,246
85001713507,468.9864,493.9242,488.6783,245
85001727717,495.8567,481.049,481.194,243
85001754182,492.3305,496.2079,474.7858,239
85001761222,488.5233,497.1151,479.8457,238
85001762053,477.3178,450.6943,459.5646,238
85001783349,473.003,471.814,458.7329,235
85001783354,493.3382,467.01,471.7257,235
85001805212,495.6577,492.2805,450.9822,232
85001820101,495.9032,480.0055,485.881,230
85001827627,488.4065,458.8928,483.9389,229
85001827629,489.6535,451.236,493.8295,229
85001835332,478.8122,473.8781,474.0844,228
85001842284,491.2266,499.3206,468.9968,227
85001850030,483.5476,495.4993,453.2365,226
85001850780,473.1067,477.0973,482.8115,226
85001850783,498.3878,459.583,498.2239,226
85001858673,491.2213,477.5568,457.8015,225
85001865614,474.8022,494.6311,455.027,224
85001866396,490.4809,488.7829,452.6099,224
85001873476,474.1507,494.2223,483.7209,223
85001874358,474.0614,452.0395,473.636,223
85001874361,496.8048,491.82,475.2242,223
85001882403,489.3316,469.0701,478.4496,222
85001888782,481.356,469.3986,450.6531,221
85001898639,468.4929,452.8141,483.5674,220
85001905988,479.9399,494.4398,452.4585,219
85001914103,476.2644,491.3247,454.029,218
85001923134,472.6065,471.7235,477.7507,217
85001923135,480.8246,472.1433,494.6156,217
85001938995,477.4312,488.2892,454.2368,215
85001939926,497.6314,466.519,459.4637,215
85001948443,496.5218,472.711,460.8751,214
85001948444,486.3138,461.2752,485.2321,214
85001956056,491.6226,497.2286,481.4131,213
85001957010,486.5123,464.6415,490.1439,213
85001974415,489.7242,471.0894,468.5109,211
85001982352,469.8282,491.1198,450.8488,210
85001983284,485.7242,464.1642,453.9637,210
85001991322,494.5674,499.472,469.9245,209
85001992185,485.5207,480.0797,460.709,209
85001992186,451.8773,460.5726,466.6259,209
85002001200,480.3168,463.915,451.5527,208
85002001203,473.239,479.1006,494.6639,208
85002009459,475.9527,494.1465,451.9151,207
85002017590,480.0153,471.7954,451.7598,206
85002028941,470.7524,467.8812,481.7175,205
85002047741,452.6976,450.2294,475.2793,203
85002057342,489.1399,475.3723,467.5165,202
85002057347,470.637,460.4789,483.6931,202
85002057350,484.4157,472.5799,490.291,202
85002066128,493.9932,496.8971,455.8226,201
85002076668,479.55,484.763,460.7868,200
85002076669,493.2921,451.7834,472.0492,200
85002076670,497.9779,492.5896,476.7051,200
85002086469,476.9267,481.5027,457.8726,199
85002105391,486.8337,496.3427,450.795,197
85002106388,484.3734,480.5767,473.9183,197
85002106390,488.3198,465.8698,489.3364,197
85002116492,464.6375,451.0128,487.7068,196
85002137128,477.2008,476.5829,454.3843,194
85002137130,483.7875,478.771,478.0168,194
85002137133,492.1569,476.4731,482.333,194
85002146344,481.7649,494.1566,465.6722,193
85002146445,487.6751,498.6033,465.0622,193
85002147428,483.4686,470.9901,492.7028,193
85002157937,466.9188,459.3326,466.8113,192
85002157939,491.9225,474.929,484.1938,192
85002168461,458.614,456.1664,451.9109,191
85002178274,478.5663,495.3254,465.9233,190
85002179281,475.4019,483.1866,456.2933,190
85002179282,476.6536,455.8574,460.4105,190
85002212072,490.3531,477.018,476.5143,187
85002212073,480.4413,487.0005,465.1567,187
85002222101,477.6633,493.9574,453.0357,186
85002223263,472.637,483.0278,483.8654,186
85002223264,471.3181,467.6342,482.5698,186
85002223266,495.6446,459.765,473.8866,186
85002234383,486.9725,463.5874,496.5401,185
85002234384,499.358,455.382,494.498,185
85002255928,473.3789,494.7604,452.0182,183
85002257078,493.5637,464.3502,491.0746,183
85002268630,485.4073,463.2462,452.7241,182
85002280482,466.0876,453.8595,476.7362,181
