#OK
#SQL= select fofID, mass, np from miniMDR1..FOF as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:38:29.711 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
fofID,mass,np
85000000000,2.70400699E15,310057
85000000479,6.5030751E14,74568
85000000529,6.2949926E14,72182
85000001931,3.80235602E14,43600
85000002035,3.71209359E14,42565
85000002836,3.17121729E14,36363
85000003728,2.78042946E14,31882
85000004404,2.53972976E14,29122
85000004639,2.47536867E14,28384
85000005333,2.2939719E14,26304
85000005391,2.282024E14,26167
85000006272,2.10088896E14,24090
85000006273,2.1006274E14,24087
85000007296,1.93266079E14,22161
85000007810,1.86106134E14,21340
85000009132,1.7007693E14,19502
85000009656,1.64608883E14,18875
85000012075,1.44506976E14,16570
85000012590,1.40704613E14,16134
85000012912,1.38376112E14,15867
85000013883,1.32253972E14,15165
85000014269,1.30169646E14,14926
85000014437,1.29166737E14,14811
85000014466,1.28992313E14,14791
85000015928,1.21666676E14,13951
85000017865,1.13146258E14,12974
85000018376,1.11184028E14,12749
85000021021,1.01739185E14,11666
85000022686,9.6654842E13,11083
85000023452,9.4457152E13,10831
85000024033,9.2835047E13,10645
85000024661,9.1343754E13,10474
85000025068,9.0393165E13,10365
85000025460,8.9390248E13,10250
85000026030,8.807338E13,10099
85000026420,8.7227447E13,10002
85000028079,8.3643112E13,9591
85000029047,8.1707047E13,9369
85000029978,7.9901802E13,9162
85000032242,7.6038395E13,8719
85000032541,7.5558742E13,8664
85000033639,7.3788385E13,8461
85000034071,7.3099421E13,8382
85000035428,7.1111035E13,8154
85000035789,7.0587771E13,8094
85000036262,6.9933694E13,8019
85000036880,6.9131366E13,7927
85000037775,6.7901705E13,7786
85000040263,6.4866799E13,7438
85000040690,6.4343538E13,7378
85000040714,6.4317374E13,7375
85000041075,6.390749E13,7328
85000042541,6.2259217E13,7139
85000042553,6.2241777E13,7137
85000044872,5.9930711E13,6872
85000045529,5.9285359E13,6798
85000046520,5.8378374E13,6694
85000046706,5.8221394E13,6676
85000047354,5.7628365E13,6608
85000047424,5.7567322E13,6601
85000049472,5.58144E13,6400
85000050647,5.4846367E13,6289
85000051745,5.3982987E13,6190
85000052433,5.3442291E13,6128
85000052632,5.329403E13,6111
85000053895,5.2360882E13,6004
85000058103,4.9421908E13,5667
85000058463,4.9177719E13,5639
85000058987,4.8828879E13,5599
85000059075,4.8776555E13,5593
85000060687,4.7756194E13,5476
85000061794,4.7102122E13,5401
85000065581,4.4982916E13,5158
85000065780,4.4886988E13,5147
85000066102,4.4721288E13,5128
85000066479,4.4511984E13,5104
85000066576,4.4459656E13,5098
85000066849,4.432012E13,5082
85000067791,4.3831748E13,5026
85000070654,4.2418947E13,4864
85000071632,4.197417E13,4813
85000071644,4.1965454E13,4812
85000072429,4.159917E13,4770
85000072502,4.1555566E13,4765
85000074565,4.0622417E13,4658
85000075926,4.0090437E13,4597
85000076969,3.9645665E13,4546
85000077915,3.926194E13,4502
85000077991,3.9235776E13,4499
85000079224,3.872124E13,4440
85000080091,3.8389844E13,4402
85000080173,3.836368E13,4399
85000080332,3.8302632E13,4392
85000080706,3.8154376E13,4375
85000080926,3.8067163E13,4365
85000081290,3.7927627E13,4349
85000081790,3.7727047E13,4326
85000082175,3.7587511E13,4310
85000082502,3.7465415E13,4296
85000082685,3.7395647E13,4288
85000082810,3.7352043E13,4283
85000084489,3.6759014E13,4215
85000086426,3.6104942E13,4140
85000087228,3.584331E13,4110
85000088675,3.5354933E13,4054
85000088961,3.5250281E13,4042
85000090465,3.47619071E13,3986
85000090628,3.4718301E13,3981
85000091719,3.43781828E13,3942
85000092430,3.41601566E13,3917
85000092704,3.40729444E13,3907
85000092984,3.39944564E13,3898
85000093480,3.38461983E13,3881
85000094253,3.36107342E13,3854
85000095054,3.33839881E13,3828
85000096976,3.28520077E13,3767
85000098216,3.25206095E13,3729
85000098511,3.24333994E13,3719
85000099352,3.22153732E13,3694
85000100294,3.1971185E13,3666
85000101087,3.17618829E13,3642
85000102787,3.13345526E13,3593
85000102996,3.12822265E13,3587
85000104016,3.10118764E13,3556
85000104551,3.08810602E13,3541
85000106548,3.04188479E13,3488
85000106822,3.03577998E13,3481
85000107254,3.02531478E13,3469
85000108006,3.00787276E13,3449
85000108043,3.00700077E13,3448
85000108805,2.98955875E13,3428
85000109902,2.96513993E13,3400
85000110536,2.95118632E13,3384
85000113116,2.89537209E13,3320
85000113789,2.88054628E13,3303
85000113970,2.87618567E13,3298
85000114259,2.87008107E13,3291
85000114254,2.87008107E13,3291
85000115532,2.84391826E13,3261
85000115786,2.83868544E13,3255
85000116208,2.82909244E13,3244
85000117207,2.80728982E13,3219
85000118001,2.79159222E13,3201
85000118413,2.78374321E13,3192
85000119762,2.75670798E13,3161
85000120880,2.73490557E13,3136
85000123334,2.68868434E13,3083
85000123429,2.68694014E13,3081
85000123908,2.67821913E13,3071
85000124044,2.67560273E13,3068
85000126312,2.6328699E13,3019
85000127581,2.61019528E13,2993
85000128376,2.59711388E13,2978
85000129431,2.57879966E13,2957
