#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85007436093_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 11:48:59.664 CEST
#QUERYTIME 44 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857621040769,85,404.3313,484.041,890.368,-574.7185,-566.1371,-146.2422,994031182
857624186490,85,404.4271,484.0984,890.3178,-531.1887,-508.6584,12.6566,994031182
857625235050,85,404.5289,484.0028,890.3221,-565.8111,-592.3558,-136.8359,994031182
857625235066,85,404.4183,484.1085,890.2467,-555.8668,-668.3273,-63.4488,994031182
857664032354,85,404.6508,484.0437,890.2521,-588.5121,-588.1375,-84.1515,994031182
857664032370,85,404.411,484.0746,890.2531,-587.5344,-688.8794,-80.4965,994031182
857664032378,85,404.4175,484.0775,890.2766,-572.4631,-701.2856,-65.2321,994031182
857665080922,85,404.576,483.9681,890.311,-505.2056,-546.1221,61.3737,994031182
857665080938,85,404.43,484.0717,890.2122,-581.5942,-697.4333,-104.7884,994031182
857665080946,85,404.4122,484.1395,890.3066,-637.3608,-704.198,23.5452,994031182
857665080953,85,404.4378,484.0314,890.262,-567.791,-608.8096,-6.182,994031182
857665080954,85,404.4004,484.1484,890.3301,-636.8023,-675.9409,58.7878,994031182
857665080961,85,404.3692,484.1618,890.2383,-453.3315,-599.361,23.5576,994031182
857666113152,85,404.4102,484.0717,890.3005,-626.9703,-543.9526,18.5327,994031182
857666129498,85,404.5848,483.9436,890.3821,-613.5078,-680.9202,39.619,994031182
857666129506,85,404.4552,484.0681,890.2261,-617.9067,-633.3091,-20.3723,994031182
857666129514,85,404.3921,484.1372,890.2592,-645.6757,-539.4849,6.3954,994031182
857666129521,85,404.4803,484.0793,890.323,-554.5126,-605.2033,42.4408,994031182
857666129522,85,404.4238,484.1074,890.2828,-602.2333,-615.1764,36.4569,994031182
857666129529,85,404.4168,484.0021,890.2629,-585.791,-577.2399,-24.9119,994031182
857666129530,85,404.4826,484.0813,890.2264,-463.6553,-642.459,-43.6506,994031182
857666129537,85,404.4807,484.0164,890.238,-658.7167,-680.1984,-42.6367,994031182
857666129538,85,404.4933,484.0021,890.2456,-475.3683,-573.3769,27.7955,994031182
857667161720,85,404.4576,484.0498,890.2057,-583.1354,-686.8151,82.3929,994031182
857667161728,85,404.46,484.0367,890.2533,-670.2112,-610.4946,18.8017,994031182
857667178073,85,404.6207,484.0273,890.3,-604.2546,-531.0062,49.0431,994031182
857667178081,85,404.4332,484.0039,890.2057,-540.3693,-659.2881,60.107,994031182
857667178082,85,404.3714,484.1671,890.2299,-578.9963,-569.155,-24.105,994031182
857667178089,85,404.4087,484.1233,890.2315,-644.251,-604.324,-43.6735,994031182
857667178090,85,404.4159,484.1081,890.2534,-562.2928,-587.7704,5.1108,994031182
857667178091,85,404.4257,483.9817,890.2639,-595.7095,-474.6248,4.5385,994031182
857667178097,85,404.4561,484.074,890.2698,-569.7776,-633.0821,24.0504,994031182
857667178098,85,404.4388,484.0887,890.2623,-571.0477,-624.3126,-5.9622,994031182
857667178099,85,404.4923,484.0167,890.3557,-581.0716,-581.9172,-47.8018,994031182
857667178105,85,404.4432,484.1514,890.2617,-588.8069,-583.0468,1.3699,994031182
857667178106,85,404.4431,484.0775,890.2803,-578.7742,-633.5122,-6.6682,994031182
857667178107,85,404.4521,483.9854,890.3593,-563.4903,-708.6096,100.6462,994031182
857667178113,85,404.3997,484.1077,890.3213,-431.0565,-625.6683,-6.162,994031182
857668210296,85,404.4959,484.0018,890.2427,-582.9351,-685.3983,31.4559,994031182
857668226657,85,404.4174,484.1602,890.2369,-549.7034,-589.1365,9.2314,994031182
857668226665,85,404.4507,484.1392,890.2524,-635.108,-705.5574,25.1733,994031182
857668226666,85,404.4895,484.1519,890.2064,-595.4712,-671.2514,20.6741,994031182
857668226667,85,404.5392,483.9402,890.3015,-642.6384,-575.2278,79.6225,994031182
857668226673,85,404.4256,484.0296,890.2897,-555.2286,-695.4506,50.6301,994031182
857668226674,85,404.3788,484.0308,890.3113,-497.5118,-520.5878,-17.7397,994031182
857668226675,85,404.5011,484.0067,890.3046,-534.6223,-662.2413,-24.8109,994031182
857668226681,85,404.5276,484.0975,890.222,-603.0071,-619.8301,-52.2901,994031182
857669275241,85,404.4724,484.0875,890.2742,-602.4443,-642.3468,32.5025,994031182
857669275242,85,404.371,484.0913,890.3767,-636.3865,-542.3734,-21.4165,994031182
857669275250,85,404.5038,483.9785,890.3154,-522.7349,-689.1859,22.3089,994031182
#OK
