#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85001127478_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-08 16:19:21.061 CEST
#QUERYTIME 49 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
854154481884,85,461.6954,509.6643,485.5061,653.2134,107.5985,171.8382,215525378
854195343656,85,461.8546,509.7157,485.171,19.937,510.7282,-392.0497,215525377
854195343688,85,461.685,509.7284,485.1091,321.2751,653.7405,-96.1263,215525377
854198489440,85,461.6092,509.6707,485.4829,248.519,252.9307,-124.3533,215525378
854204797186,85,461.8078,509.5777,485.4576,250.5927,222.497,-349.8755,215525378
854204797187,85,461.669,509.622,485.2212,578.2551,651.1621,-515.5051,215525377
854204797188,85,461.554,509.4947,485.3114,401.1323,649.1636,-546.0137,215525377
854204797194,85,461.7952,509.1025,485.4072,188.7001,440.5757,-349.4243,215525378
854204797195,85,461.7474,509.1408,485.3318,161.5676,434.6311,-396.9258,215525377
854204797196,85,461.6588,509.2411,485.3692,130.4973,439.4936,-420.8069,215525378
854204797197,85,461.7043,509.2535,485.3919,79.7306,456.273,-352.7988,215525378
854204797202,85,461.7293,509.1141,485.4224,130.956,448.0094,-331.6229,215525378
854204797203,85,461.722,509.1485,485.3441,154.8651,437.9713,-386.3052,215525377
854204797204,85,461.6829,509.175,485.3609,152.0571,427.7809,-395.4792,215525378
854204797205,85,461.6812,509.2152,485.3929,87.2409,415.7173,-369.81,215525378
854204797209,85,461.7945,509.7751,485.3827,342.0427,305.5526,-163.8995,215525437
854204797210,85,461.7347,509.1919,485.3946,148.4593,476.0797,-327.8868,215525378
854204797211,85,461.7117,509.1295,485.4077,147.9033,436.1846,-338.3682,215525378
854204797212,85,461.6855,509.1248,485.365,139.7856,417.4226,-370.6667,215525378
854204797217,85,461.8564,509.7068,485.2033,274.5318,368.4018,-108.707,215525377
854204797218,85,461.8009,509.9216,485.0284,498.5963,590.2823,-332.3792,215525438
854204797225,85,461.4721,509.5142,485.4303,262.1202,363.0222,-145.1559,215525378
854204797226,85,461.8054,509.6195,485.3964,111.3651,315.568,-224.3245,215525378
854204797234,85,461.7586,509.4996,485.1794,63.7938,469.8059,-131.5876,215525377
854204797235,85,461.8098,509.3531,485.2859,80.1767,368.7882,-174.8726,215525377
854205845762,85,461.5047,509.8162,485.2734,436.442,534.6013,-176.028,215525438
854205845763,85,461.9451,509.7191,485.2323,301.6343,294.0393,-242.0694,215525382
854205845766,85,461.6606,509.31,485.3637,127.8638,384.437,-510.0137,215525378
854205845769,85,461.9034,509.4354,485.1465,347.2274,470.6266,-157.4371,215525377
854205845770,85,461.6438,509.541,485.3324,-46.4481,499.7262,-396.3584,215525377
854205845771,85,461.8566,509.5419,485.2183,268.1255,395.8524,-232.1059,215525377
854205845772,85,461.7556,509.5449,485.3055,118.7109,250.1548,-214.352,215525377
854205845777,85,461.6215,509.3845,485.344,186.1226,408.7404,-435.5574,215525377
854205845778,85,461.7998,509.5506,485.2183,246.3629,365.4285,-155.9971,215525377
854205845779,85,461.6931,509.5177,485.3123,76.0136,333.73,-141.9859,215525377
854205845780,85,461.7759,509.5444,485.3557,14.6029,306.5984,-225.7507,215525378
854205845785,85,461.5941,509.4185,485.2682,160.475,419.8929,-456.9461,215525377
854205845786,85,461.7613,509.7567,485.2018,367.336,410.4592,-205.2262,215525377
854205845787,85,461.797,509.7281,485.2304,323.8625,392.7073,-262.0329,215525377
854205845788,85,461.6106,509.5318,485.338,176.0901,537.8389,-358.3925,215525377
854205845789,85,461.7914,509.6789,485.2123,264.8481,319.4588,-286.8051,215525377
854205845793,85,461.5707,509.4671,485.2384,176.2786,469.4043,-388.2593,215525377
854205845794,85,461.8271,509.7768,485.1655,406.9549,413.0894,-224.5151,215525438
854205845795,85,461.8382,509.7212,485.1904,408.3141,377.7503,-226.7952,215525377
854205845801,85,461.8323,509.5024,485.4808,117.8187,382.308,-229.2322,215525378
854205845802,85,461.5819,509.6064,485.1798,485.7423,514.212,-279.0648,215525377
854205845803,85,461.8224,509.6658,485.1818,366.7926,390.5029,-272.1847,215525377
854205845809,85,461.6246,509.7588,485.0447,476.8282,329.8596,-192.6309,215525377
854205845810,85,461.6546,509.5928,485.2943,563.6481,289.3756,-311.3346,215525377
854205845811,85,461.8439,509.7232,485.1499,441.04,488.6049,-202.7719,215525377
854205845812,85,461.6834,509.6069,485.224,690.8658,398.8544,-431.8547,215525377
854205845817,85,461.5862,509.6436,485.3682,326.4512,422.9414,41.9454,215525378
854205845818,85,461.8429,509.6133,485.2912,351.5,428.7532,-153.1104,215525377
854205845819,85,461.8015,509.5435,485.2514,260.8725,438.3431,-226.212,215525377
854205845820,85,461.5528,509.7653,485.3317,515.643,370.4631,-285.6627,215525377
854205845827,85,461.8054,509.8886,485.0874,375.089,294.0974,-239.9016,215525438
854206894353,85,461.8354,509.6008,485.2233,249.1606,403.3556,-38.1517,215525377
854206894354,85,461.9127,509.7024,485.1801,498.7198,371.1099,-281.4241,215525377
854206894355,85,461.8715,509.6581,485.136,442.1791,395.3777,-252.7716,215525377
854206894356,85,461.7664,509.8507,485.0356,460.5311,591.4512,-324.3023,215525438
854206894361,85,461.827,509.5872,485.4581,279.5022,224.6775,-239.7817,215525378
854206894362,85,461.7944,509.6552,485.2301,349.7273,344.2608,-258.2627,215525377
854206894363,85,461.8496,509.7364,485.1936,435.3472,399.6454,-215.7215,215525377
854206894364,85,461.8232,509.6581,485.3696,244.659,269.6143,-298.7881,215525378
854206894369,85,461.7038,509.601,485.3104,505.986,435.9932,-8.8236,215525377
854206894370,85,461.835,509.7287,485.1934,399.6912,410.1682,-235.8993,215525377
854206894371,85,461.8267,509.7461,485.1655,422.0996,383.6836,-249.6472,215525377
854206894372,85,461.854,509.7155,485.2025,438.3008,371.0945,-227.631,215525377
854206894377,85,461.7715,509.701,485.1652,499.4703,504.3294,-184.3831,215525377
854206894378,85,461.8164,509.7509,485.2831,440.8981,368.8217,-240.1818,215525377
854206894379,85,461.8669,509.712,485.1183,448.6169,402.9655,-256.7456,215525377
854206894380,85,461.8034,509.7252,485.2856,369.7643,383.7282,-201.8401,215525377
854206894381,85,461.8807,509.706,485.162,394.4789,397.9126,-306.369,215525377
854206894386,85,461.6519,509.6043,485.1981,530.7379,390.1471,-361.7888,215525377
854206894387,85,461.5262,509.5284,485.4654,265.6169,531.1859,-425.0125,215525378
854206894389,85,461.6929,509.6595,485.1926,508.6809,425.9201,-257.4255,215525377
854206894390,85,461.6346,509.694,485.2975,488.3694,492.2097,-541.3327,215525377
854206894393,85,461.8767,509.5086,485.2563,124.8476,265.0675,-176.4561,215525377
854206894394,85,461.5633,509.5964,485.2971,333.0097,519.5671,-429.5004,215525377
854206894395,85,461.6645,509.6543,485.0982,505.6385,408.207,-324.4247,215525377
854206894396,85,461.7599,509.5639,485.3556,123.9534,433.2502,-45.3339,215525378
854206894397,85,461.6885,509.5313,485.255,321.3231,478.8308,-345.2548,215525377
854206894398,85,461.8068,509.6611,485.1733,312.6166,193.0085,-359.5131,215525377
854206894401,85,461.7098,509.604,485.4389,357.8936,395.5126,-209.493,215525378
854206894403,85,461.7555,509.5431,485.3195,309.8012,572.8614,-81.3938,215525377
854206894404,85,461.7547,509.6025,485.3901,79.3973,469.1122,-163.6468,215525378
854206894405,85,461.693,509.474,485.2598,169.4362,371.6714,-270.0849,215525377
854206894409,85,461.6358,509.4658,485.2881,454.4846,662.5449,-339.2535,215525377
854206894410,85,461.5636,509.4157,485.3421,231.5956,511.7345,-201.8762,215525377
854206894411,85,461.8336,509.5297,485.2814,301.458,226.6267,-401.0807,215525377
854206894412,85,461.838,509.4399,485.1475,147.8214,292.749,-201.608,215525377
854206894418,85,461.7505,509.783,485.449,427.9502,510.8568,-49.5061,215525437
854207942930,85,461.4807,509.413,485.1721,301.4877,631.7176,-278.3558,215525377
854207942938,85,461.8268,509.837,485.1308,430.4863,468.6449,-275.5865,215525438
854207942939,85,461.9047,509.7443,485.1641,488.6061,442.502,-202.795,215525377
854207942940,85,461.7942,509.6496,485.2581,355.3698,357.2888,-197.3835,215525377
854207942945,85,461.5332,509.5132,485.3628,182.1987,260.7401,-337.6445,215525378
854207942946,85,461.7403,509.1978,485.3302,146.6905,485.4333,-357.5316,215525377
854207942948,85,461.7977,509.744,485.1176,558.8997,504.0156,-253.3121,215525377
854207942949,85,461.8307,509.8554,485.002,440.2813,522.3107,-402.9418,215525438
854207942953,85,461.6839,509.6652,485.4007,41.5925,454.1459,-225.6447,215525378
