#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85007633964_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-08 17:47:53.167 CEST
#QUERYTIME 45 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
854497153297,85,460.8274,455.6545,534.0911,892.6749,240.6926,325.2524,987350363
854498185519,85,460.8698,455.6815,534.2911,807.0664,304.2049,304.3344,987350362
854504477000,85,460.7918,455.8139,534.27,910.1647,-430.6028,-285.1249,987350362
854504493380,85,460.9744,455.6838,534.1957,1027.3757,-209.5865,19.7076,987351717
854504493398,85,460.8737,455.6355,534.1917,671.6403,-575.1052,-295.6143,987350362
854543274328,85,460.8037,455.8445,534.2094,931.8157,-414.9904,-284.1399,987350362
854550614430,85,460.8541,455.5749,534.0437,-177.1724,-276.3508,-972.0605,987350363
854551663021,85,460.8691,455.6382,534.0797,249.2425,-297.3426,-683.9134,987350363
854552711589,85,461.0306,455.851,534.2169,210.9759,-202.526,-828.661,987351717
854553760165,85,460.7709,455.7635,534.1433,214.2618,-168.1288,-803.3826,987350363
854553760166,85,460.853,455.7069,534.1426,246.3536,-200.4918,-825.4145,987350363
854553760173,85,460.7357,455.7295,534.1486,209.2214,-172.6811,-785.0363,987350363
854553760181,85,460.8018,455.6997,534.2176,170.2877,-26.454,-805.5576,987350362
854554808741,85,460.7491,455.7155,534.2344,187.0397,-178.9644,-827.3735,987350362
854554808742,85,460.8093,455.7128,534.2455,246.5346,-239.3031,-769.3422,987350362
854554808749,85,460.828,455.8178,534.163,210.1904,-186.3314,-756.6868,987350363
854554808750,85,460.892,455.7459,534.1584,227.1095,-199.2144,-818.9047,987350363
854554808757,85,460.8795,455.8393,534.2031,142.1039,-203.6907,-663.0906,987350362
854554808758,85,460.8861,455.7891,534.1631,251.1879,-238.3984,-807.7794,987350363
854554808765,85,460.8659,455.8525,534.165,57.2724,-238.8345,-663.3118,987350363
854593606054,85,460.9011,455.8266,534.1575,121.5944,-220.1006,-626.4707,987350363
854593606055,85,460.8591,455.878,534.139,210.2705,-205.4156,-704.8693,987350363
854593606062,85,460.9608,455.8331,534.2166,170.8688,-184.8934,-769.7158,987351717
854593606070,85,460.8622,455.8079,534.2571,42.3763,-249.0578,-652.8094,987350362
854593606077,85,460.9164,455.8281,534.214,208.8797,-204.102,-749.3215,987350362
854593606078,85,460.8964,455.8872,534.2299,86.8855,-248.7622,-680.906,987350362
854594654630,85,460.8771,455.9167,534.0693,96.4678,-141.8354,-693.0784,987350363
854594654638,85,460.9361,455.8619,534.2638,119.3708,-180.4547,-728.2879,987350362
854594654646,85,460.8486,455.851,534.2747,24.539,-199.3687,-640.1251,987350362
854594654654,85,460.8653,455.8633,534.2205,4.0464,-121.3786,-664.653,987350362
854595703207,85,460.7306,455.7202,534.1187,169.6169,-70.9044,-849.9617,987350363
854595703208,85,460.8169,455.7847,534.1168,97.1261,-204.2853,-636.4032,987350363
854595703215,85,460.9063,455.7445,534.1663,235.9828,-157.2495,-762.2846,987350363
854595703223,85,460.877,455.6936,534.1759,253.8992,-161.9059,-730.2853,987350363
854596751783,85,460.8637,455.7306,534.1744,234.531,-126.1062,-801.8406,987350363
854596751784,85,460.8054,455.7215,534.2053,253.1931,-137.482,-751.5176,987350362
854596751791,85,460.8325,455.755,534.1626,228.202,-147.9309,-712.3876,987350363
854596751792,85,460.956,455.7774,534.2166,210.8219,-171.4876,-720.9096,987351717
854596751799,85,460.9781,455.7842,534.1501,198.6587,-257.3877,-815.9016,987351716
854596751800,85,460.869,455.7256,534.2678,47.0156,-283.495,-661.7286,987350362
854596751808,85,460.8615,455.701,534.3273,0.3005,-290.505,-685.7838,987350362
854596768169,85,460.8832,455.7048,534.2075,93.665,-261.838,-610.3572,987350362
854597800360,85,460.9276,455.7708,534.1974,218.9276,-130.7795,-730.2168,987350362
854597800368,85,460.8998,455.7515,534.1409,163.1185,-164.7577,-654.8616,987350363
854597816745,85,460.9927,455.712,534.2142,212.1112,-332.8779,-773.1064,987351717
854597816753,85,461.0381,455.7523,534.1747,191.9649,-300.1622,-860.1186,987351716
854597849348,85,460.8688,455.7781,534.2139,946.975,-71.2769,61.8376,987350362
854650327425,85,460.9968,455.7627,534.2618,230.9404,-1179.638,-881.1013,987351717
#OK
