#BDM		FOF	R_MCMC/R_BDM
8506795622 85008505690 7.241366
8506843650 85000004359 6.298465
8506841772 85000130801 5.602399
8506812604 85000021300 7.845034
8506808918 85000014138 5.978339
8506839632 85000059024 5.340332
8506842598 85000130801 5.516749
8506836133 85000041218 6.548508
8506823973 85000031876 16.111721
8506832980 85002473329 5.004567
8506810361 85000062227 8.228386
8506812387 85000021300 6.877922
8506847922 85000039793 11.774311
8506841931 85000300262 5.599070
8506853533 85000127242 6.625688
8506843731 85000084313 5.558008
8506843026 85000030236 6.853804
8506854688 85000155767 9.436528
8506855547 85000193257 8.919286
8506821286 85000104645 10.470043
8506802451 85000490318 6.472674
8506838295 85000041218 5.285756
8506823210 85000095408 6.286506
8506860440 85000016836 64.071954
8506806587 85000027862 14.932021
8506832133 85000110887 10.988000
8506850675 85000123178 5.211242
8506827239 85000179226 6.675883
8506825580 85000966861 5.813411
8506811812 85000379299 5.326034
8506800626 85004141939 7.395641
8506823727 85003951949 7.426643
8506848706 85000175432 6.293237
8506847097 85000148138 11.363017
8506823683 85000209085 7.970037
8506833609 85000428987 7.140857
8506807329 85000834021 5.310901
8506835445 85000021754 8.544891
8506796539 85000937473 5.208785
8506851999 85001826762 5.295058
8506849889 85006475248 7.235395
8506848964 85000173254 6.723230
8506857036 85000161552 7.545491
8506837770 85000163955 7.541648
8506812098 85000021300 9.365053
8506838695 85000053935 7.245705
8506806992 85005138452 5.163662
8506816535 85007375860 184.531688
8506825825 85000058826 5.596649
8506823195 85005271839 5.481106
8506843049 85000006377 7.997926
8506853971 85000252528 7.424377
8506825524 85000040220 16.396055
8506843741 85000782852 5.416674
8506809471 85000069687 7.264023
8506848705 85000342126 6.479091
8506858963 85000130762 7.543438
8506850242 85000033447 7.424436
8506846076 85000410518 7.822665
8506821296 85000581198 5.525583
8506809074 85000130502 6.748914
8506800479 85000027862 14.121802
8506834551 85000288154 5.158573
8506817300 85000022017 11.018582
8506857039 85001714425 5.137431
8506810850 85000079232 7.221713
8506837166 85006786807 7.640267
8506796407 85000006455 8.113520
8506818138 85000022017 11.283028
8506824235 85000058367 7.101749
8506849855 85000262443 7.270173
8506824992 85000212484 7.136302
8506815964 85000865683 7.319101
8506834787 85006909263 5.232473
8506831257 85000215617 21.451364
8506852762 85000039793 39.221040
8506841229 85000231860 6.888239
8506844876 85000530279 7.260086
8506811968 85005460965 5.299542
8506815363 85002076636 5.304319
8506853709 85000116395 14.148444
8506796273 85007128594 5.948750
8506824094 85000038038 7.631467
8506834310 85003745303 5.141916
8506830603 85007772181 5.599557
8506852001 85007501991 15.111822
8506850216 85003507103 7.547784
8506805805 85000431725 7.618131
8506818567 85008216545 5.697303
8506821658 85007769166 14.793422
8506820351 85007769170 8.521509
