#OK
#SQL= select * from MDR1..BDMVprof where bdmId = 8506832133    order by Rbin
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-30 14:55:57.471 CET
#QUERYTIME 20 millisec
#COLUMN 1 name=bdmProfileId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 3 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 4 name=NinCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=R_Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Rbin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 8 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=dens JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=Vcirc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=VpropRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=Vrad JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=VradRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=boundR_Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=boundNp JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 16 name=boundMass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=boundDens JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=boundVcirc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=boundVcircRms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=boundVrad JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=boundVradRms JDBC_TYPE=7 JDBC_TYPENAME=real
bdmProfileId,bdmId,snapnum,NinCat,R_Rvir,Rbin,np,mass,dens,Vcirc,VpropRms,Vrad,VradRms,boundR_Rvir,boundNp,boundMass,boundDens,boundVcirc,boundVcircRms,boundVrad,boundVradRms
8506832133000,8506832133,85,6832133,0.06531931,16.22216,1,6.9377008E10,1660529.8,136.0426,284.84625,-221.89857,221.89857,0.06531931,1,6.9377008E10,1660529.8,136.0426,284.84625,-221.89857,221.89857
8506832133001,8506832133,85,6832133,0.07372724,18.201567,4,1.04065516E11,4702248.0,157.29701,106.069145,-8.634838,76.927315,0.07372724,4,1.04065516E11,4702248.0,157.29701,106.069145,-8.634838,76.927315
8506832133002,8506832133,85,6832133,0.08501825,20.422493,3,1.30081898E11,2496708.8,166.0258,229.30579,68.22692,99.13753,0.08501825,3,1.30081898E11,2496708.8,166.0258,229.30579,68.22692,99.13753
8506832133003,8506832133,85,6832133,0.09283662,22.91441,4,1.64770415E11,2356714.8,176.40332,107.73935,-34.694534,80.37278,0.09283662,4,1.64770415E11,2356714.8,176.40332,107.73935,-34.694534,80.37278
8506832133004,8506832133,85,6832133,0.106270775,25.710396,4,1.99458914E11,1668420.0,183.22884,159.09587,-62.339043,105.720726,0.106270775,4,1.99458914E11,1668420.0,183.22884,159.09587,-62.339043,105.720726
8506832133005,8506832133,85,6832133,0.11972997,28.847534,3,2.25475297E11,885866.56,183.91478,167.06908,-17.119314,65.91309,0.11972997,3,2.25475297E11,885866.56,183.91478,167.06908,-17.119314,65.91309
8506832133006,8506832133,85,6832133,0.1338939,32.36747,3,2.5149168E11,627143.3,183.37027,246.52083,-105.54517,113.24208,0.1338939,3,2.5149168E11,627143.3,183.37027,246.52083,-105.54517,113.24208
8506832133007,8506832133,85,6832133,0.14208773,36.3169,1,2.60163813E11,147994.97,176.0721,165.10066,98.429634,98.429634,0.14208773,1,2.60163813E11,147994.97,176.0721,165.10066,98.429634,98.429634
8506832133008,8506832133,85,6832133,0.16790596,40.748226,4,2.94852329E11,419089.28,176.95769,198.14479,0.3357048,41.681015,0.16790596,4,2.94852329E11,419089.28,176.95769,198.14479,0.3357048,41.681015
8506832133009,8506832133,85,6832133,0.18706618,45.72027,6,3.46885095E11,445038.16,181.20071,166.79785,-57.105854,119.16819,0.18706618,6,3.46885095E11,445038.16,181.20071,166.79785,-57.105854,119.16819
8506832133010,8506832133,85,6832133,0.21707587,51.298985,4,3.81573595E11,210041.97,179.41397,108.41649,-2.1115618,46.671772,0.21707587,4,3.81573595E11,210041.97,179.41397,108.41649,-2.1115618,46.671772
8506832133011,8506832133,85,6832133,0.23460457,57.558403,2,3.98917861E11,74349.305,173.18443,243.97783,94.513855,203.77231,0.23460457,2,3.98917861E11,74349.305,173.18443,243.97783,94.513855,203.77231
8506832133012,8506832133,85,6832133,0.26478207,64.58159,7,4.59622744E11,184223.27,175.49626,163.90495,-49.996838,101.873665,0.26478207,7,4.59622744E11,184223.27,175.49626,163.90495,-49.996838,101.873665
8506832133013,8506832133,85,6832133,0.29551518,72.46174,4,4.94311244E11,74525.68,171.81747,199.3347,5.3819313,101.12399,0.29551518,4,4.94311244E11,74525.68,171.81747,199.3347,5.3819313,101.12399
8506832133014,8506832133,85,6832133,0.33648401,81.30341,8,5.6368824E11,105520.305,173.21544,271.1816,90.68578,159.14859,0.33667853,7,5.5501613E11,92330.27,171.87785,180.35771,58.965973,122.37507
8506832133015,8506832133,85,6832133,0.3701336,91.22392,7,6.2439313E11,65364.848,172.10606,307.96902,-100.9094,261.16867,0.37006295,6,6.0704889E11,56027.023,169.69887,168.30463,-16.107718,132.73134
